Instance	Objective	Duration (in s)
instance14	41106	0.000772
instance14	39721	0.001910
instance14	39721	0.002036
instance14	39721	0.002846
instance14	39721	0.002832
instance14	38227	0.000264
instance14	38227	0.000486
instance14	34551	0.000332
instance14	34551	0.000326
instance14	32528	0.000466
instance14	31309	0.001938
instance14	31309	0.002596
instance14	29580	0.000308
instance14	29382	0.002604
instance14	29382	0.001896
instance14	28894	0.001026
instance14	28749	0.000936
instance15	39319	0.001088
instance15	38870	0.000958
instance15	37223	0.001970
instance15	37223	0.002650
instance15	36863	0.002714
instance15	36863	0.001944
instance15	33692	0.000626
instance15	32540	0.000540
instance15	30802	0.000468
instance15	30802	0.000482
instance15	30677	0.000468
instance15	30196	0.000482
instance15	29168	0.001858
instance15	29168	0.002732
instance15	28412	0.000958
instance15	27906	0.000874
instance15	27607	0.002840
instance15	27607	0.002000
instance16	40410	0.000860
instance16	40320	0.000910
instance16	38147	0.000412
instance16	38147	0.000514
instance16	37007	0.001656
instance16	37007	0.001888
instance16	36408	0.001820
instance16	36408	0.002168
instance16	29340	0.000464
instance16	29020	0.001676
instance16	29020	0.002200
instance16	28914	0.000780
instance16	28860	0.000572
instance16	28778	0.000552
instance16	28583	0.001808
instance16	28583	0.001996
instance16	27016	0.000480
instance16	26950	0.000848
instance17	38601	0.000600
instance17	38004	0.000558
instance17	37588	0.001480
instance17	37588	0.002266
instance17	37505	0.001476
instance17	37505	0.002764
instance17	36831	0.000326
instance17	36831	0.000384
instance17	31799	0.000368
instance17	31799	0.000452
instance17	29109	0.000258
instance17	27468	0.000504
instance17	27312	0.001358
instance17	27312	0.001964
instance17	27163	0.000584
instance17	26529	0.000254
instance17	25434	0.001282
instance17	25434	0.002318
instance18	42909	0.000864
instance18	40471	0.001848
instance18	40471	0.002784
instance18	38199	0.000834
instance18	37450	0.002082
instance18	37450	0.002926
instance18	37286	0.000402
instance18	37286	0.000402
instance18	35352	0.000522
instance18	35302	0.000612
instance18	32901	0.000492
instance18	32752	0.000512
instance18	30577	0.000904
instance18	30153	0.002032
instance18	30153	0.002420
instance18	29766	0.002388
instance18	29766	0.002232
instance18	29498	0.000870
instance19	40392	0.000764
instance19	39700	0.000748
instance19	38494	0.000384
instance19	38494	0.000492
instance19	38045	0.001782
instance19	38045	0.002820
instance19	36955	0.001550
instance19	36955	0.003254
instance19	34035	0.000416
instance19	33440	0.000486
instance19	31078	0.001870
instance19	31078	0.002174
instance19	30651	0.002140
instance19	30651	0.002488
instance19	28728	0.000744
instance19	28199	0.000706
instance19	27045	0.000456
instance19	25284	0.000546
instance20	42749	0.001050
instance20	42040	0.002114
instance20	42040	0.002460
instance20	42036	0.000892
instance20	39851	0.001638
instance20	39851	0.002484
instance20	39560	0.000328
instance20	39560	0.000328
instance20	37767	0.000514
instance20	36011	0.000762
instance20	31874	0.000466
instance20	31168	0.000390
instance20	30510	0.001502
instance20	30510	0.002286
instance20	30247	0.000756
instance20	28976	0.000798
instance20	28296	0.001520
instance20	28296	0.002460
instance21	59504	0.000856
instance21	57171	0.001018
instance21	56343	0.001538
instance21	56343	0.001504
instance21	56343	0.002416
instance21	56343	0.002326
instance21	53785	0.000512
instance21	53785	0.000394
instance21	53409	0.000676
instance21	52679	0.000524
instance21	49191	0.002160
instance21	49191	0.002354
instance21	49038	0.000612
instance21	48182	0.000630
instance21	47619	0.001742
instance21	47619	0.002610
instance21	46318	0.000868
instance21	45181	0.001120
instance22	59384	0.000918
instance22	58892	0.001012
instance22	57126	0.001652
instance22	57126	0.002466
instance22	56775	0.000426
instance22	56775	0.000414
instance22	55164	0.000568
instance22	54713	0.000538
instance22	54605	0.001842
instance22	54605	0.002500
instance22	54256	0.001572
instance22	54256	0.002626
instance22	53449	0.003010
instance22	53449	0.001792
instance22	51942	0.000452
instance22	49428	0.000472
instance22	49049	0.000850
instance22	47803	0.000986
instance23	58617	0.001160
instance23	57911	0.000920
instance23	57238	0.001632
instance23	57238	0.002194
instance23	56705	0.001794
instance23	56705	0.001404
instance23	53997	0.000536
instance23	53813	0.000504
instance23	53813	0.000570
instance23	53574	0.000610
instance23	51664	0.000620
instance23	50412	0.000594
instance23	50282	0.001942
instance23	50282	0.001882
instance23	47678	0.001026
instance23	46701	0.001768
instance23	46701	0.001770
instance23	45243	0.000996
instance24	59356	0.000896
instance24	59032	0.000862
instance24	57491	0.001700
instance24	57491	0.002336
instance24	57436	0.001262
instance24	57436	0.002526
instance24	53859	0.000398
instance24	53859	0.000526
instance24	53113	0.000570
instance24	53113	0.000502
instance24	51815	0.001592
instance24	51815	0.002148
instance24	51031	0.001778
instance24	51031	0.002014
instance24	50936	0.000514
instance24	50936	0.000452
instance24	48869	0.000868
instance24	46164	0.000846
instance25	60505	0.000906
instance25	59858	0.001192
instance25	57620	0.001966
instance25	57620	0.002682
instance25	56859	0.002672
instance25	56859	0.001782
instance25	54451	0.000530
instance25	54451	0.000486
instance25	53795	0.000446
instance25	53795	0.000496
instance25	52665	0.000474
instance25	52099	0.000622
instance25	51158	0.001636
instance25	51158	0.002274
instance25	50535	0.002330
instance25	50535	0.001772
instance25	46447	0.001006
instance25	46447	0.000872
instance26	57139	0.001788
instance26	57139	0.002604
instance26	56862	0.002552
instance26	56862	0.001770
instance26	56229	0.001366
instance26	56124	0.001302
instance26	55040	0.000836
instance26	55040	0.000802
instance26	52303	0.000798
instance26	52237	0.000762
instance26	51549	0.000706
instance26	51549	0.000718
instance26	48492	0.001806
instance26	48492	0.002372
instance26	48484	0.002442
instance26	48484	0.001616
instance26	48427	0.000968
instance26	48199	0.000900
instance27	59559	0.000882
instance27	59559	0.000900
instance27	58331	0.000432
instance27	58331	0.000428
instance27	55058	0.001768
instance27	55058	0.001770
instance27	55058	0.002620
instance27	55058	0.002578
instance27	54013	0.001936
instance27	54013	0.002368
instance27	53764	0.000460
instance27	53732	0.000550
instance27	53274	0.002474
instance27	53274	0.001882
instance27	52993	0.000458
instance27	50222	0.000500
instance27	49990	0.000942
instance27	49694	0.000994
instance28	59804	0.000564
instance28	59804	0.000522
instance28	59533	0.001564
instance28	59533	0.001472
instance28	59533	0.002390
instance28	59533	0.002342
instance28	56962	0.000850
instance28	56962	0.000908
instance28	54612	0.000556
instance28	52894	0.000508
instance28	52130	0.000532
instance28	50840	0.001780
instance28	50840	0.002100
instance28	50245	0.002096
instance28	50245	0.001716
instance28	49839	0.000512
instance28	48698	0.000856
