Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance5	12978	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001652
instance5	12978	ratio value/weightOfMostFullDimension descending	Dynamic	0.002866
instance6	23719	ratio value/totalWeight descending	Dynamic	0.000810
instance6	23085	ratio value/totalWeight descending	Static	0.000846
instance6	19861	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001752
instance6	19861	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002242
instance6	18907	ratio value/weightOfMostFullDimension crescent	Static	0.002310
instance6	18907	ratio value/weightOfMostCriticalDimension crescent	Static	0.001830
instance6	17788	descending	Static	0.000424
instance6	17788	descending	Dynamic	0.000310
instance6	17781	random	Static	0.000620
instance6	16712	random	Dynamic	0.000578
instance6	15830	crescent	Static	0.000450
instance6	15162	crescent	Dynamic	0.000360
instance6	14090	ratio value/weightOfMostCriticalDimension descending	Static	0.001582
instance6	14090	ratio value/weightOfMostFullDimension descending	Static	0.002594
instance6	13268	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001704
instance6	13268	ratio value/weightOfMostFullDimension descending	Dynamic	0.002754
instance6	11222	ratio value/totalWeight crescent	Static	0.000814
instance6	10565	ratio value/totalWeight crescent	Dynamic	0.000768
instance7	22787	ratio value/totalWeight descending	Static	0.000768
instance7	22383	ratio value/totalWeight descending	Dynamic	0.000868
instance7	22308	ratio value/weightOfMostCriticalDimension crescent	Static	0.001892
instance7	22308	ratio value/weightOfMostFullDimension crescent	Static	0.002850
instance7	21474	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001758
instance7	21474	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002106
instance7	21315	descending	Static	0.000354
instance7	21315	descending	Dynamic	0.000272
instance7	18875	random	Static	0.000494
instance7	16955	random	Dynamic	0.000468
instance7	16274	crescent	Static	0.000300
instance7	15765	crescent	Dynamic	0.000332
instance7	15079	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001824
instance7	15079	ratio value/weightOfMostFullDimension descending	Dynamic	0.002430
instance7	14367	ratio value/weightOfMostFullDimension descending	Static	0.002586
instance7	14367	ratio value/weightOfMostCriticalDimension descending	Static	0.001520
instance7	13664	ratio value/totalWeight crescent	Dynamic	0.000664
instance7	13272	ratio value/totalWeight crescent	Static	0.000740
instance8	21911	ratio value/totalWeight descending	Dynamic	0.000768
instance8	21249	ratio value/totalWeight descending	Static	0.000744
instance8	19064	descending	Static	0.000310
instance8	19064	descending	Dynamic	0.000332
instance8	17837	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001654
instance8	17837	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002520
instance8	17219	ratio value/weightOfMostFullDimension crescent	Static	0.002386
