Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance25	46447	ratio value/totalWeight crescent	Dynamic	0.000872
instance26	57139	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001788
instance26	57139	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002604
instance26	56862	ratio value/weightOfMostFullDimension crescent	Static	0.002552
instance26	56862	ratio value/weightOfMostCriticalDimension crescent	Static	0.001770
instance26	56229	ratio value/totalWeight descending	Dynamic	0.001366
instance26	56124	ratio value/totalWeight descending	Static	0.001302
instance26	55040	descending	Static	0.000836
instance26	55040	descending	Dynamic	0.000802
instance26	52303	random	Dynamic	0.000798
instance26	52237	random	Static	0.000762
instance26	51549	crescent	Static	0.000706
instance26	51549	crescent	Dynamic	0.000718
instance26	48492	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001806
instance26	48492	ratio value/weightOfMostFullDimension descending	Dynamic	0.002372
instance26	48484	ratio value/weightOfMostFullDimension descending	Static	0.002442
instance26	48484	ratio value/weightOfMostCriticalDimension descending	Static	0.001616
instance26	48427	ratio value/totalWeight crescent	Static	0.000968
instance26	48199	ratio value/totalWeight crescent	Dynamic	0.000900
instance27	59559	ratio value/totalWeight descending	Static	0.000882
instance27	59559	ratio value/totalWeight descending	Dynamic	0.000900
instance27	58331	descending	Static	0.000432
instance27	58331	descending	Dynamic	0.000428
instance27	55058	ratio value/weightOfMostCriticalDimension crescent	Static	0.001768
instance27	55058	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001770
instance27	55058	ratio value/weightOfMostFullDimension crescent	Static	0.002620
instance27	55058	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002578
instance27	54013	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001936
instance27	54013	ratio value/weightOfMostFullDimension descending	Dynamic	0.002368
instance27	53764	crescent	Static	0.000460
instance27	53732	random	Static	0.000550
instance27	53274	ratio value/weightOfMostFullDimension descending	Static	0.002474
instance27	53274	ratio value/weightOfMostCriticalDimension descending	Static	0.001882
instance27	52993	crescent	Dynamic	0.000458
instance27	50222	random	Dynamic	0.000500
instance27	49990	ratio value/totalWeight crescent	Dynamic	0.000942
instance27	49694	ratio value/totalWeight crescent	Static	0.000994
instance28	59804	descending	Static	0.000564
instance28	59804	descending	Dynamic	0.000522
instance28	59533	ratio value/weightOfMostCriticalDimension crescent	Static	0.001564
instance28	59533	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001472
instance28	59533	ratio value/weightOfMostFullDimension crescent	Static	0.002390
instance28	59533	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002342
instance28	56962	ratio value/totalWeight descending	Static	0.000850
instance28	56962	ratio value/totalWeight descending	Dynamic	0.000908
instance28	54612	random	Static	0.000556
instance28	52894	random	Dynamic	0.000508
instance28	52130	crescent	Static	0.000532
instance28	50840	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001780
instance28	50840	ratio value/weightOfMostFullDimension descending	Dynamic	0.002100
instance28	50245	ratio value/weightOfMostFullDimension descending	Static	0.002096
instance28	50245	ratio value/weightOfMostCriticalDimension descending	Static	0.001716
instance28	49839	crescent	Dynamic	0.000512
instance28	48698	ratio value/totalWeight crescent	Dynamic	0.000856
instance28	48407	ratio value/totalWeight crescent	Static	0.000856
instance29	57537	ratio value/totalWeight descending	Dynamic	0.000980
instance29	56360	ratio value/totalWeight descending	Static	0.000976
instance29	55274	ratio value/weightOfMostCriticalDimension crescent	Static	0.001698
instance29	55274	ratio value/weightOfMostFullDimension crescent	Static	0.002564
instance29	53994	descending	Static	0.000438
instance29	53994	descending	Dynamic	0.000446
instance29	53104	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001926
instance29	53104	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002466
instance29	51677	random	Dynamic	0.000550
instance29	51265	random	Static	0.000548
instance29	49283	ratio value/weightOfMostFullDimension descending	Static	0.002418
instance29	49283	ratio value/weightOfMostFullDimension descending	Dynamic	0.002480
instance29	49283	ratio value/weightOfMostCriticalDimension descending	Static	0.001694
instance29	49283	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001914
instance29	48958	crescent	Dynamic	0.000398
instance29	48094	ratio value/totalWeight crescent	Dynamic	0.000786
instance29	46948	ratio value/totalWeight crescent	Static	0.000804
instance29	46545	crescent	Static	0.000440
instance30	58878	ratio value/totalWeight descending	Static	0.000936
instance30	58878	ratio value/totalWeight descending	Dynamic	0.001010
instance30	57551	ratio value/weightOfMostCriticalDimension crescent	Static	0.001928
instance30	57551	ratio value/weightOfMostFullDimension crescent	Static	0.002734
instance30	57201	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001826
instance30	57201	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002662
instance30	55775	descending	Static	0.000448
instance30	55775	descending	Dynamic	0.000430
instance30	53212	random	Static	0.000542
instance30	52737	crescent	Dynamic	0.000584
instance30	52409	random	Dynamic	0.000494
instance30	49876	crescent	Static	0.000446
instance30	49639	ratio value/totalWeight crescent	Dynamic	0.001010
instance30	48565	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001844
instance30	48565	ratio value/weightOfMostFullDimension descending	Dynamic	0.002434
instance30	48086	ratio value/weightOfMostFullDimension descending	Static	0.002738
instance30	48086	ratio value/weightOfMostCriticalDimension descending	Static	0.001746
instance30	47492	ratio value/totalWeight crescent	Static	0.001068
