Instance  		Objective		Duration (in s)
instance30 		52737			0.000512
instance30 		51861			0.000556
instance30 		50441			0.000574
instance30 		49876			0.000656
instance30 		49639			0.001216
instance30 		48565			0.002322
instance30 		48565			0.002808
instance30 		48086			0.002898
instance30 		48086			0.002420
instance30 		47492			0.001122
