Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance24 		55189			random                                              			Static 			0.000374
instance24 		54657			random                                              			Dynamic			0.000376
instance24 		53859			descending                                          			Static 			0.000284
instance24 		53859			descending                                          			Dynamic			0.000290
instance24 		51815			ratio value/weightOfMostCriticalDimension descending			Static 			0.001898
instance24 		51815			ratio value/weightOfMostFullDimension descending    			Static 			0.002454
instance24 		51031			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001466
instance24 		51031			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002456
instance24 		50936			crescent                                            			Static 			0.000320
instance24 		50936			crescent                                            			Dynamic			0.000284
instance24 		48869			ratio value/totalWeight crescent                    			Dynamic			0.000906
instance24 		46164			ratio value/totalWeight crescent                    			Static 			0.000838
instance25 		60505			ratio value/totalWeight descending                  			Dynamic			0.000912
instance25 		59858			ratio value/totalWeight descending                  			Static 			0.000890
instance25 		57620			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001684
instance25 		57620			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002478
instance25 		56859			ratio value/weightOfMostFullDimension crescent      			Static 			0.002444
instance25 		56859			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001694
instance25 		53834			random                                              			Dynamic			0.000536
instance25 		53795			descending                                          			Static 			0.000456
instance25 		53795			descending                                          			Dynamic			0.000444
instance25 		52666			random                                              			Static 			0.000536
instance25 		52665			crescent                                            			Static 			0.000524
instance25 		52099			crescent                                            			Dynamic			0.000450
instance25 		51158			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001952
instance25 		51158			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002352
instance25 		50535			ratio value/weightOfMostFullDimension descending    			Static 			0.002562
instance25 		50535			ratio value/weightOfMostCriticalDimension descending			Static 			0.001658
instance25 		46447			ratio value/totalWeight crescent                    			Static 			0.000876
instance25 		46447			ratio value/totalWeight crescent                    			Dynamic			0.000906
instance26 		57139			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001630
instance26 		57139			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002416
instance26 		56862			ratio value/weightOfMostFullDimension crescent      			Static 			0.002754
instance26 		56862			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001652
instance26 		56229			ratio value/totalWeight descending                  			Dynamic			0.000856
instance26 		56124			ratio value/totalWeight descending                  			Static 			0.000876
instance26 		55040			descending                                          			Static 			0.000292
instance26 		55040			descending                                          			Dynamic			0.000300
instance26 		52399			random                                              			Static 			0.000494
instance26 		51697			random                                              			Dynamic			0.000566
instance26 		51549			crescent                                            			Static 			0.000324
instance26 		51549			crescent                                            			Dynamic			0.000356
instance26 		48492			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001648
instance26 		48492			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002474
instance26 		48484			ratio value/weightOfMostFullDimension descending    			Static 			0.002394
instance26 		48484			ratio value/weightOfMostCriticalDimension descending			Static 			0.001712
instance26 		48427			ratio value/totalWeight crescent                    			Static 			0.001072
instance26 		48199			ratio value/totalWeight crescent                    			Dynamic			0.000944
instance27 		59559			ratio value/totalWeight descending                  			Static 			0.000894
instance27 		59559			ratio value/totalWeight descending                  			Dynamic			0.000902
instance27 		58331			descending                                          			Static 			0.000474
instance27 		58331			descending                                          			Dynamic			0.000456
instance27 		57039			random                                              			Dynamic			0.000538
instance27 		56948			random                                              			Static 			0.000560
instance27 		55058			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001586
instance27 		55058			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001846
instance27 		55058			ratio value/weightOfMostFullDimension crescent      			Static 			0.001886
instance27 		55058			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002216
instance27 		54013			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001890
instance27 		54013			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001934
instance27 		53764			crescent                                            			Static 			0.000494
instance27 		53274			ratio value/weightOfMostFullDimension descending    			Static 			0.003540
instance27 		53274			ratio value/weightOfMostCriticalDimension descending			Static 			0.001720
instance27 		52993			crescent                                            			Dynamic			0.000478
instance27 		49990			ratio value/totalWeight crescent                    			Dynamic			0.000984
instance27 		49694			ratio value/totalWeight crescent                    			Static 			0.000862
instance28 		59804			descending                                          			Static 			0.000496
instance28 		59804			descending                                          			Dynamic			0.000498
instance28 		59533			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001748
instance28 		59533			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001754
instance28 		59533			ratio value/weightOfMostFullDimension crescent      			Static 			0.001968
instance28 		59533			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002140
instance28 		56962			ratio value/totalWeight descending                  			Static 			0.000840
instance28 		56962			ratio value/totalWeight descending                  			Dynamic			0.000850
instance28 		52130			crescent                                            			Static 			0.000554
instance28 		51998			random                                              			Dynamic			0.000530
instance28 		50840			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001716
instance28 		50840			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002130
instance28 		50245			ratio value/weightOfMostFullDimension descending    			Static 			0.002444
instance28 		50245			ratio value/weightOfMostCriticalDimension descending			Static 			0.001604
instance28 		49839			crescent                                            			Dynamic			0.000544
instance28 		49727			random                                              			Static 			0.000602
instance28 		48698			ratio value/totalWeight crescent                    			Dynamic			0.000832
instance28 		48407			ratio value/totalWeight crescent                    			Static 			0.000834
instance29 		57537			ratio value/totalWeight descending                  			Dynamic			0.000658
instance29 		56360			ratio value/totalWeight descending                  			Static 			0.000696
instance29 		55274			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001452
instance29 		55274			ratio value/weightOfMostFullDimension crescent      			Static 			0.002246
instance29 		53994			descending                                          			Static 			0.000388
instance29 		53994			descending                                          			Dynamic			0.000340
instance29 		53104			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001334
instance29 		53104			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002118
instance29 		52727			random                                              			Static 			0.000410
instance29 		52688			random                                              			Dynamic			0.000368
instance29 		49283			ratio value/weightOfMostFullDimension descending    			Static 			0.001856
instance29 		49283			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002084
instance29 		49283			ratio value/weightOfMostCriticalDimension descending			Static 			0.001404
instance29 		49283			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001428
instance29 		48958			crescent                                            			Dynamic			0.000314
instance29 		48094			ratio value/totalWeight crescent                    			Dynamic			0.000706
instance29 		46948			ratio value/totalWeight crescent                    			Static 			0.000738
instance29 		46545			crescent                                            			Static 			0.000372
instance30 		58878			ratio value/totalWeight descending                  			Static 			0.000610
instance30 		58878			ratio value/totalWeight descending                  			Dynamic			0.000628
instance30 		57551			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001416
instance30 		57551			ratio value/weightOfMostFullDimension crescent      			Static 			0.001996
instance30 		57201			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001350
instance30 		57201			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001896
instance30 		55775			descending                                          			Static 			0.000270
instance30 		55775			descending                                          			Dynamic			0.000274
instance30 		52737			crescent                                            			Dynamic			0.000328
instance30 		50763			random                                              			Dynamic			0.000364
instance30 		50370			random                                              			Static 			0.000370
instance30 		49876			crescent                                            			Static 			0.000284
instance30 		49639			ratio value/totalWeight crescent                    			Dynamic			0.000618
instance30 		48565			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001334
instance30 		48565			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001920
instance30 		48086			ratio value/weightOfMostFullDimension descending    			Static 			0.001882
instance30 		48086			ratio value/weightOfMostCriticalDimension descending			Static 			0.001224
instance30 		47492			ratio value/totalWeight crescent                    			Static 			0.000610
instance1 		20987			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001480
instance1 		20987			ratio value/weightOfMostFullDimension crescent      			Static 			0.001792
instance1 		20233			ratio value/totalWeight descending                  			Static 			0.000536
instance1 		19780			ratio value/totalWeight descending                  			Dynamic			0.000524
instance1 		19696			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001280
instance1 		19696			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002092
instance1 		18166			descending                                          			Static 			0.000234
instance1 		18166			descending                                          			Dynamic			0.000216
instance1 		16956			random                                              			Dynamic			0.000456
instance1 		16582			random                                              			Static 			0.000560
instance1 		14295			crescent                                            			Static 			0.000238
instance1 		14085			ratio value/totalWeight crescent                    			Dynamic			0.000514
instance1 		13641			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001326
instance1 		13641			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001874
instance1 		13246			ratio value/weightOfMostFullDimension descending    			Static 			0.002008
instance1 		13246			ratio value/weightOfMostCriticalDimension descending			Static 			0.001384
instance1 		12834			ratio value/totalWeight crescent                    			Static 			0.000524
instance1 		12805			crescent                                            			Dynamic			0.000252
instance2 		22280			ratio value/totalWeight descending                  			Dynamic			0.000636
instance2 		21556			ratio value/totalWeight descending                  			Static 			0.000690
instance2 		19376			descending                                          			Static 			0.000222
instance2 		19376			descending                                          			Dynamic			0.000216
instance2 		18476			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001342
instance2 		18476			ratio value/weightOfMostFullDimension crescent      			Static 			0.001946
instance2 		18473			random                                              			Dynamic			0.000464
instance2 		17672			random                                              			Static 			0.000456
instance2 		17051			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001320
instance2 		17051			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001800
instance2 		16772			crescent                                            			Dynamic			0.000252
instance2 		15918			ratio value/weightOfMostCriticalDimension descending			Static 			0.001308
instance2 		15918			ratio value/weightOfMostFullDimension descending    			Static 			0.001874
instance2 		15187			crescent                                            			Static 			0.000258
instance2 		14262			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001316
instance2 		14262			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001862
instance2 		13639			ratio value/totalWeight crescent                    			Dynamic			0.000576
instance2 		13314			ratio value/totalWeight crescent                    			Static 			0.000626
instance3 		21542			ratio value/totalWeight descending                  			Dynamic			0.000586
instance3 		21074			ratio value/totalWeight descending                  			Static 			0.000498
instance3 		20629			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001212
instance3 		20629			ratio value/weightOfMostFullDimension crescent      			Static 			0.001900
instance3 		20289			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001246
instance3 		20289			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002082
instance3 		17128			descending                                          			Static 			0.000214
instance3 		17128			descending                                          			Dynamic			0.000210
instance3 		16188			random                                              			Static 			0.000446
instance3 		15739			random                                              			Dynamic			0.000430
instance3 		14307			crescent                                            			Static 			0.000234
instance3 		13491			crescent                                            			Dynamic			0.000258
instance3 		12498			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001198
instance3 		12498			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002600
instance3 		12215			ratio value/totalWeight crescent                    			Static 			0.000486
instance3 		12184			ratio value/weightOfMostFullDimension descending    			Static 			0.002054
instance3 		12184			ratio value/weightOfMostCriticalDimension descending			Static 			0.001190
instance3 		11607			ratio value/totalWeight crescent                    			Dynamic			0.000620
instance4 		21046			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001178
instance4 		21046			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001904
instance4 		20222			ratio value/weightOfMostFullDimension crescent      			Static 			0.001918
instance4 		20222			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001176
instance4 		19676			descending                                          			Static 			0.000248
instance4 		19676			descending                                          			Dynamic			0.000250
instance4 		16160			random                                              			Dynamic			0.000496
instance4 		15522			ratio value/totalWeight descending                  			Static 			0.000672
instance4 		15413			crescent                                            			Dynamic			0.000222
instance4 		14997			random                                              			Static 			0.000520
instance4 		14846			ratio value/weightOfMostCriticalDimension descending			Static 			0.001316
instance4 		14846			ratio value/weightOfMostFullDimension descending    			Static 			0.001786
instance4 		14810			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001220
instance4 		14810			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001896
instance4 		14187			ratio value/totalWeight descending                  			Dynamic			0.000570
instance4 		13944			crescent                                            			Static 			0.000230
instance4 		13187			ratio value/totalWeight crescent                    			Static 			0.000764
instance4 		10860			ratio value/totalWeight crescent                    			Dynamic			0.000588
instance5 		21084			ratio value/totalWeight descending                  			Dynamic			0.000682
instance5 		20118			descending                                          			Dynamic			0.000230
instance5 		20118			descending                                          			Static 			0.000232
instance5 		19545			ratio value/totalWeight descending                  			Static 			0.000594
instance5 		18536			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001246
instance5 		18536			ratio value/weightOfMostFullDimension crescent      			Static 			0.002016
instance5 		16467			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001262
instance5 		16467			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001854
instance5 		15921			random                                              			Dynamic			0.000522
instance5 		15327			random                                              			Static 			0.000494
instance5 		14705			crescent                                            			Dynamic			0.000254
instance5 		14331			crescent                                            			Static 			0.000246
instance5 		13681			ratio value/totalWeight crescent                    			Dynamic			0.000518
instance5 		13136			ratio value/totalWeight crescent                    			Static 			0.000548
instance5 		12979			ratio value/weightOfMostCriticalDimension descending			Static 			0.001234
instance5 		12979			ratio value/weightOfMostFullDimension descending    			Static 			0.002204
instance5 		12978			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001240
instance5 		12978			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002070
instance6 		23719			ratio value/totalWeight descending                  			Dynamic			0.000524
instance6 		23085			ratio value/totalWeight descending                  			Static 			0.000566
instance6 		19861			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001224
instance6 		19861			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001726
instance6 		18907			ratio value/weightOfMostFullDimension crescent      			Static 			0.001768
instance6 		18907			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001196
instance6 		17788			descending                                          			Static 			0.000196
instance6 		17788			descending                                          			Dynamic			0.000208
instance6 		16259			random                                              			Dynamic			0.000426
instance6 		15830			crescent                                            			Static 			0.000270
instance6 		15724			random                                              			Static 			0.000442
instance6 		15162			crescent                                            			Dynamic			0.000246
instance6 		14090			ratio value/weightOfMostCriticalDimension descending			Static 			0.001326
instance6 		14090			ratio value/weightOfMostFullDimension descending    			Static 			0.001816
instance6 		13268			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001318
instance6 		13268			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001758
instance6 		11222			ratio value/totalWeight crescent                    			Static 			0.000522
instance6 		10565			ratio value/totalWeight crescent                    			Dynamic			0.000604
instance7 		22787			ratio value/totalWeight descending                  			Static 			0.000532
instance7 		22383			ratio value/totalWeight descending                  			Dynamic			0.000558
instance7 		22308			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001280
instance7 		22308			ratio value/weightOfMostFullDimension crescent      			Static 			0.001692
instance7 		21474			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001412
instance7 		21474			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001766
instance7 		21315			descending                                          			Static 			0.000226
instance7 		21315			descending                                          			Dynamic			0.000264
instance7 		16274			crescent                                            			Static 			0.000220
instance7 		16128			random                                              			Dynamic			0.000460
instance7 		15765			crescent                                            			Dynamic			0.000254
instance7 		15625			random                                              			Static 			0.000432
instance7 		15079			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001458
instance7 		15079			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001952
instance7 		14367			ratio value/weightOfMostFullDimension descending    			Static 			0.002408
instance7 		14367			ratio value/weightOfMostCriticalDimension descending			Static 			0.001768
instance7 		13664			ratio value/totalWeight crescent                    			Dynamic			0.000774
instance7 		13272			ratio value/totalWeight crescent                    			Static 			0.000732
instance8 		21911			ratio value/totalWeight descending                  			Dynamic			0.000566
instance8 		21249			ratio value/totalWeight descending                  			Static 			0.000594
instance8 		19064			descending                                          			Static 			0.000408
instance8 		19064			descending                                          			Dynamic			0.000216
instance8 		17837			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001222
instance8 		17837			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001912
instance8 		17499			random                                              			Static 			0.000482
instance8 		17219			ratio value/weightOfMostFullDimension crescent      			Static 			0.001872
instance8 		17219			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001262
instance8 		16352			random                                              			Dynamic			0.000480
instance8 		15302			crescent                                            			Dynamic			0.000240
instance8 		14734			crescent                                            			Static 			0.000234
instance8 		13997			ratio value/weightOfMostCriticalDimension descending			Static 			0.001224
instance8 		13997			ratio value/weightOfMostFullDimension descending    			Static 			0.001984
instance8 		13560			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001284
instance8 		13560			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002030
instance8 		13177			ratio value/totalWeight crescent                    			Dynamic			0.000546
instance8 		13056			ratio value/totalWeight crescent                    			Static 			0.000538
instance9 		21614			ratio value/totalWeight descending                  			Dynamic			0.000590
instance9 		20864			ratio value/totalWeight descending                  			Static 			0.000572
instance9 		19343			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001232
instance9 		19343			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001818
instance9 		18637			descending                                          			Static 			0.000210
instance9 		18637			descending                                          			Dynamic			0.000198
instance9 		18460			ratio value/weightOfMostFullDimension crescent      			Static 			0.001862
instance9 		18460			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001306
instance9 		16919			random                                              			Dynamic			0.000420
instance9 		16178			random                                              			Static 			0.000438
instance9 		14987			ratio value/weightOfMostCriticalDimension descending			Static 			0.001406
instance9 		14987			ratio value/weightOfMostFullDimension descending    			Static 			0.001908
instance9 		14476			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001506
instance9 		14476			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001886
instance9 		14093			crescent                                            			Static 			0.000236
instance9 		13642			crescent                                            			Dynamic			0.000252
instance9 		12356			ratio value/totalWeight crescent                    			Static 			0.000514
instance9 		10576			ratio value/totalWeight crescent                    			Dynamic			0.000584
instance10 		23705			ratio value/totalWeight descending                  			Dynamic			0.000550
instance10 		22150			ratio value/totalWeight descending                  			Static 			0.000536
instance10 		21147			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001246
instance10 		21147			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001276
instance10 		21147			ratio value/weightOfMostFullDimension crescent      			Static 			0.001796
instance10 		21147			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001752
instance10 		20588			descending                                          			Static 			0.000246
instance10 		20588			descending                                          			Dynamic			0.000248
instance10 		18599			random                                              			Dynamic			0.000426
instance10 		17465			random                                              			Static 			0.000482
instance10 		15357			crescent                                            			Static 			0.000220
instance10 		14878			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001220
instance10 		14878			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001740
instance10 		14641			crescent                                            			Dynamic			0.000220
instance10 		13207			ratio value/totalWeight crescent                    			Dynamic			0.000520
instance10 		13152			ratio value/weightOfMostFullDimension descending    			Static 			0.001862
instance10 		13152			ratio value/weightOfMostCriticalDimension descending			Static 			0.001172
instance10 		12946			ratio value/totalWeight crescent                    			Static 			0.000528
instance11 		41331			ratio value/totalWeight descending                  			Static 			0.000594
instance11 		41331			ratio value/totalWeight descending                  			Dynamic			0.000646
instance11 		39979			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001314
instance11 		39979			ratio value/weightOfMostFullDimension crescent      			Static 			0.001930
instance11 		39535			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001292
instance11 		39535			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001872
instance11 		37822			descending                                          			Static 			0.000238
instance11 		37822			descending                                          			Dynamic			0.000228
instance11 		34636			random                                              			Dynamic			0.000474
instance11 		34369			random                                              			Static 			0.000472
instance11 		33510			crescent                                            			Dynamic			0.000254
instance11 		31373			crescent                                            			Static 			0.000250
instance11 		30306			ratio value/weightOfMostFullDimension descending    			Static 			0.001872
instance11 		30306			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001886
instance11 		30306			ratio value/weightOfMostCriticalDimension descending			Static 			0.001448
instance11 		30306			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001366
instance11 		30115			ratio value/totalWeight crescent                    			Dynamic			0.000666
instance11 		29594			ratio value/totalWeight crescent                    			Static 			0.000594
instance12 		40362			ratio value/totalWeight descending                  			Dynamic			0.000608
instance12 		39967			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001422
instance12 		39967			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001972
instance12 		38754			ratio value/totalWeight descending                  			Static 			0.000606
instance12 		38164			ratio value/weightOfMostFullDimension crescent      			Static 			0.002042
instance12 		38164			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001440
instance12 		34569			descending                                          			Static 			0.000264
instance12 		34569			descending                                          			Dynamic			0.000262
instance12 		33037			random                                              			Dynamic			0.000512
instance12 		32477			random                                              			Static 			0.000512
instance12 		28714			ratio value/totalWeight crescent                    			Dynamic			0.000726
instance12 		28597			ratio value/weightOfMostFullDimension descending    			Static 			0.002038
instance12 		28597			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001968
instance12 		28597			ratio value/weightOfMostCriticalDimension descending			Static 			0.001388
instance12 		28597			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001444
instance12 		28506			ratio value/totalWeight crescent                    			Static 			0.000612
instance12 		27800			crescent                                            			Static 			0.000298
instance12 		27326			crescent                                            			Dynamic			0.000318
instance13 		39471			ratio value/totalWeight descending                  			Static 			0.000618
instance13 		38886			ratio value/totalWeight descending                  			Dynamic			0.000652
instance13 		37757			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001422
instance13 		37757			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002118
instance13 		37613			ratio value/weightOfMostFullDimension crescent      			Static 			0.001882
instance13 		37613			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001320
instance13 		37474			descending                                          			Static 			0.000260
instance13 		37474			descending                                          			Dynamic			0.000260
instance13 		33961			random                                              			Dynamic			0.000464
instance13 		33626			random                                              			Static 			0.000550
instance13 		32361			crescent                                            			Static 			0.000266
instance13 		31567			crescent                                            			Dynamic			0.000352
instance13 		29708			ratio value/weightOfMostCriticalDimension descending			Static 			0.001278
instance13 		29708			ratio value/weightOfMostFullDimension descending    			Static 			0.001840
instance13 		28055			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001500
instance13 		28055			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001974
instance13 		26233			ratio value/totalWeight crescent                    			Static 			0.000742
instance13 		24735			ratio value/totalWeight crescent                    			Dynamic			0.000608
instance14 		41106			ratio value/totalWeight descending                  			Static 			0.000610
instance14 		41106			ratio value/totalWeight descending                  			Dynamic			0.000786
instance14 		39721			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001386
instance14 		39721			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001332
instance14 		39721			ratio value/weightOfMostFullDimension crescent      			Static 			0.001974
instance14 		39721			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002086
instance14 		38227			descending                                          			Static 			0.000324
instance14 		38227			descending                                          			Dynamic			0.000278
instance14 		36734			random                                              			Static 			0.000590
instance14 		36734			random                                              			Dynamic			0.000512
instance14 		32528			crescent                                            			Static 			0.000284
instance14 		31309			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001422
instance14 		31309			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002116
instance14 		29580			crescent                                            			Dynamic			0.000276
instance14 		29382			ratio value/weightOfMostFullDimension descending    			Static 			0.001990
instance14 		29382			ratio value/weightOfMostCriticalDimension descending			Static 			0.001432
instance14 		28894			ratio value/totalWeight crescent                    			Dynamic			0.000714
instance14 		28749			ratio value/totalWeight crescent                    			Static 			0.000638
instance15 		39319			ratio value/totalWeight descending                  			Static 			0.000678
instance15 		38870			ratio value/totalWeight descending                  			Dynamic			0.000610
instance15 		37223			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001480
instance15 		37223			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002016
instance15 		36863			ratio value/weightOfMostFullDimension crescent      			Static 			0.001928
instance15 		36863			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001312
instance15 		33453			random                                              			Dynamic			0.000592
instance15 		31751			random                                              			Static 			0.000544
instance15 		30802			descending                                          			Static 			0.000242
instance15 		30802			descending                                          			Dynamic			0.000254
instance15 		30677			crescent                                            			Static 			0.000352
instance15 		30196			crescent                                            			Dynamic			0.000344
instance15 		29168			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001398
instance15 		29168			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001994
instance15 		28412			ratio value/totalWeight crescent                    			Static 			0.000628
instance15 		27906			ratio value/totalWeight crescent                    			Dynamic			0.000642
instance15 		27607			ratio value/weightOfMostFullDimension descending    			Static 			0.002014
instance15 		27607			ratio value/weightOfMostCriticalDimension descending			Static 			0.001264
instance16 		40410			ratio value/totalWeight descending                  			Dynamic			0.000602
instance16 		40320			ratio value/totalWeight descending                  			Static 			0.000604
instance16 		38147			descending                                          			Static 			0.000276
instance16 		38147			descending                                          			Dynamic			0.000272
instance16 		37007			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001378
instance16 		37007			ratio value/weightOfMostFullDimension crescent      			Static 			0.002042
instance16 		36408			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001268
instance16 		36408			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001824
instance16 		34870			random                                              			Dynamic			0.000534
instance16 		34306			random                                              			Static 			0.000548
instance16 		29340			crescent                                            			Dynamic			0.000302
instance16 		29020			ratio value/weightOfMostCriticalDimension descending			Static 			0.001192
instance16 		29020			ratio value/weightOfMostFullDimension descending    			Static 			0.001836
instance16 		28914			ratio value/totalWeight crescent                    			Dynamic			0.000604
instance16 		28583			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001198
instance16 		28583			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001990
instance16 		27016			crescent                                            			Static 			0.000322
instance16 		26950			ratio value/totalWeight crescent                    			Static 			0.000562
instance17 		38601			ratio value/totalWeight descending                  			Dynamic			0.000608
instance17 		38004			ratio value/totalWeight descending                  			Static 			0.000712
instance17 		37588			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001242
instance17 		37588			ratio value/weightOfMostFullDimension crescent      			Static 			0.002146
instance17 		37505			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001290
instance17 		37505			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002068
instance17 		36831			descending                                          			Static 			0.000276
instance17 		36831			descending                                          			Dynamic			0.000272
instance17 		35105			random                                              			Dynamic			0.000428
instance17 		34978			random                                              			Static 			0.000348
instance17 		29109			crescent                                            			Static 			0.000284
instance17 		27468			ratio value/totalWeight crescent                    			Dynamic			0.000564
instance17 		27312			ratio value/weightOfMostCriticalDimension descending			Static 			0.001272
instance17 		27312			ratio value/weightOfMostFullDimension descending    			Static 			0.001968
instance17 		27163			ratio value/totalWeight crescent                    			Static 			0.000550
instance17 		26529			crescent                                            			Dynamic			0.000284
instance17 		25434			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001330
