Instance  		Objective		Scheduling														Heuristic		Metaheuristic		Duration (in s)
instance20 		42749			ratio value/totalWeight descending                  			Static 		    Local Research		0.000746
instance21 		59504			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.000938
instance22 		59384			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.000726
instance23 		58617			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.000684
instance24 		59356			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.000788
instance25 		60505			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.000804
instance26 		57139			ratio value/weightOfMostCriticalDimension crescent  			Dynamic		    Local Research		0.001522
instance27 		59559			ratio value/totalWeight descending                  			Static 		    Local Research		0.000850
instance28 		59804			descending                                          			Static 		    Local Research		0.000412
instance29 		57537			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.000756
instance30 		58878			ratio value/totalWeight descending                  			Static 		    Local Research		0.000796
